user,funding_source,amount
33862,5280,224
34402,5280,150
34409,5280,150
55633,5280,114.62
29181,3835,263
29328,3835,150
33761,3835,205.41
33781,3835,150
43251,3835,294.88
21303,704,125
32181,704,50
34229,704,10
34235,704,150
34305,704,535
39689,704,25
46722,704,10
16589,704,193.91
52820,704,473.94
10751,704,50
18369,704,60
20650,704,75
33125,704,120
34233,704,440
34234,704,525
34248,704,50
38784,704,10
28586,3550,6.5
51855,3550,500
47224,7374,4214.37
52659,7372,100
46766,7369,3296.18
30412,3866,1571.61
30714,3866,1794.1
32399,3866,1844.42
48956,3866,800
26115,3205,191.74
28220,3205,20
30723,3205,1473.68
35392,3205,500
43542,6325,200
43618,6325,90
43620,6325,200
43589,6325,100
43593,6325,27.12
43619,6325,100
43617,6325,100
29599,3914,1397.45
29600,3914,477.31
29696,3914,629.97
35738,3914,494.65
46993,3914,500
52121,3914,600
33885,3914,500
35746,3914,635.2
39567,3914,594.95
42711,3914,452.38
53826,3914,500
29471,3914,1701.81
30939,3914,296.22
41621,3914,500
42642,3914,800
34812,5142,56.93
36162,5142,427
36639,5142,200
40371,5142,1383.98
38189,5142,1000
38213,5142,1000
38238,5142,1000
38894,5142,817.45
38901,5142,1000
38922,5142,1000
38976,5142,1000
39083,5142,1006.14
42943,5142,63
44117,5142,4.61
44790,5142,174.85
44796,5142,63
40859,5382,148.68
51940,5382,265.93
29700,2758,4.94
32561,239,5.46
21177,2640,202.69
54390,1075,30.56
30424,4212,133.5
30704,4212,5
31475,4212,225.43
30469,4212,250
21510,2318,10
30004,4473,177.08
24856,2756,200
39321,2756,215.24
57135,2756,100
26727,2755,200
27571,2755,100
27640,2755,300
26144,3447,318.8
48828,3447,796.81
52501,3447,110
42392,2784,1590.96
18272,2659,287.83
11813,861,102.85
12613,861,287.85
14568,861,287.85
47586,7060,13
44036,6560,259.78
44009,6560,229.92
44012,6560,239.41
32420,5492,3
26740,5061,150
26755,5061,175
30003,5061,29.18
37769,5061,506.55
10583,1005,1820
41962,6507,330.26
41993,6507,29.66
42032,6507,143.49
42078,6507,23.64
42229,6507,204.11
36411,5266,5000
37500,5260,1095
43502,6328,107.24
33891,1159,275
39855,1499,10068.79
39152,6366,612.72
40641,6366,800
40771,6366,800
42786,6366,600
46150,6366,740
27012,3398,100
27018,3398,92
36713,3398,161.7
