team_id,concession_amount,funding_source_id,amount,message
4683,"$1,500",3639,1500,
7096,"$1,500",7781,1500,
5552,"$1,500",3326,1500,
4742,"$1,500",4759,1500,
6210,"$1,500",5148,1500,
6039,"$1,500",4573,1500,
5256,"$1,500",4983,1500,
4737,"$1,500",919,1500,
3186,"$1,500",707,1500,
5036,"$1,500",1617,1500,
4722,"$1,500",945,1500,
6789,"$1,500",6742,1500,
6976,"$1,500",7366,1500,
7003,"$1,000",7481,1000,
5272,"$1,000",2277,1000,
6958,"$1,000",7368,1000,
6438,"$1,000",6290,1000,
5474,"$1,000",6265,1000,
5600,"$1,000",3511,1000,
5334,"$1,000",2414,1000,
6968,"$1,000",7406,1000,
6241,"$1,000",5303,1000,
5323,"$1,000",5395,1000,
4754,"$1,000",976,1000,
4868,"$1,000",1229,1000,
5043,"$1,000",1653,1000,
6478,"$1,000",5912,1000,
5562,"$1,000",3373,1000,
4917,"$1,000",1340,1000,
5763,"$1,000",8810,1000,
5046,"$1,000",1638,1000,
5342,"$1,000",5185,1000,
5534,"$1,000",3247,1000,
6750,"$1,000",6620,1000,
6944,"$1,000",7220,1000,
3382,"$1,000",47,1000,
5531,"$1,000",3205,1000,
5468,"$1,000",2935,1000,
3858,"$1,000",877,1000,
4671,"$1,000",830,1000,
5799,"$1,000",4201,1000,
6571,"$1,000",6142,1000,
6587,"$1,000",6248,1000,
5483,"$1,000",3063,1000,
6042,"$1,000",4596,1000,
3771,"$1,000",503,1000,
4824,"$1,000",1136,1000,
6985,"$1,000",7414,1000,
5610,"$1,000",4075,1000,
6851,"$1,000",6906,1000,
5814,"$1,000",4231,1000,
6911,"$1,000",7072,1000,
6636,"$1,000",6307,1000,
5568,"$1,000",3394,1000,
5815,"$1,000",4552,1000,
5803,"$1,000",4235,1000,
3989,"$1,000",227,1000,
5586,"$1,000",3467,1000,
5400,"$1,000",2664,1000,
5027,"$1,000",2021,1000,
6574,"$1,000",6151,1000,
6591,"$1,000",6221,1000,
5818,"$1,000",5230,1000,
4779,"$1,000",1204,1000,
4226,"$1,000",1072,1000,
6080,"$1,000",4684,1000,
