team_id,concession_amount,funding_source_id,amount,message
5419,$250,2673,250,
6980,$250,7448,250,
5635,$250,3658,250,
4907,$250,1305,250,
5466,$250,2974,250,
6618,$250,6282,250,
6818,$250,6802,250,
5850,$250,5495,250,
6599,$250,6458,250,
4239,$250,438,250,
6600,$250,6308,250,
6897,$250,7641,250,
5467,$250,7724,250,
6247,$250,8622,250,
7132,$250,8067,250,
4514,$250,7075,250,
6222,$250,5238,250,
5207,$100,5263,100,
6905,$100,7123,100,
3363,$100,41,100,
4256,$100,371,100,
6513,$100,5976,100,
6758,$100,6640,100,
5487,$100,3233,100,
6141,$100,4815,100,
5680,$100,3875,100,
6995,$100,7667,100,
6048,$100,4615,100,
6672,$100,8291,100,
6705,$100,6560,100,
6160,$100,4946,100,
5450,$100,6201,100,
5841,$100,8116,100,
5780,$100,4212,100,
6788,$100,7013,100,
5247,$100,2212,100,
4648,$100,783,100,
6489,$100,6740,100,
3563,$100,5289,100,
5742,$100,3996,100,
6806,$100,6769,100,
6434,$100,5838,100,
4268,$100,380,100,
5793,$100,4215,100,
5435,$100,2766,100,
5642,$100,3717,100,
6592,$100,6811,100,
4823,$100,1107,100,
6887,$100,7007,100,
