user_id,balance,funding_source_id,amount
59522,0,4439,0
60898,0,4439,0
61141,0,4439,0
62745,0,4439,0
63924,10,4439,10
59759,15,4439,15
59812,15,4439,15
61610,20,4439,20
60088,25,4439,20
60985,25,4439,20
68347,25,4439,20
60042,30,4439,20
60454,30,4439,20
59438,35,4439,20
59629,35,4439,20
59778,35,4439,20
60072,35,4439,20
63402,35,4439,20
63596,35,4439,20
68144,35,4439,20
59328,40,4439,20
59358,40,4439,20
59369,40,4439,20
59390,40,4439,20
59460,40,4439,20
59467,40,4439,20
59594,40,4439,20
59641,40,4439,20
59695,40,4439,20
59737,40,4439,20
59757,40,4439,20
59783,40,4439,20
59960,40,4439,20
59968,40,4439,20
60102,40,4439,20
60299,40,4439,20
60322,40,4439,20
60385,40,4439,20
60390,40,4439,20
60550,40,4439,20
60555,40,4439,20
60647,40,4439,20
60866,40,4439,20
60920,40,4439,20
61044,40,4439,20
61331,40,4439,20
61579,40,4439,20
61687,40,4439,20
61701,40,4439,20
61713,40,4439,20
61816,40,4439,20
61869,40,4439,20
61978,40,4439,20
62119,40,4439,20
62462,40,4439,20
62640,40,4439,20
62681,40,4439,20
62692,40,4439,20
62954,40,4439,20
63042,40,4439,20
63363,40,4439,20
64138,40,4439,20
68143,40,4439,20
59350,45,4439,20
59400,45,4439,20
59439,45,4439,20
59443,45,4439,20
59469,45,4439,20
59509,45,4439,20
59551,45,4439,20
59559,45,4439,20
59625,45,4439,20
59702,45,4439,20
59753,45,4439,20
59762,45,4439,20
59771,45,4439,20
59791,45,4439,20
59820,45,4439,20
59914,45,4439,20
59934,45,4439,20
59938,45,4439,20
60004,45,4439,20
60062,45,4439,20
60080,45,4439,20
60101,45,4439,20
60183,45,4439,20
60187,45,4439,20
60190,45,4439,20
60277,45,4439,20
60284,45,4439,20
60308,45,4439,20
60320,45,4439,20
60417,45,4439,20
60478,45,4439,20
60488,45,4439,20
60617,45,4439,20
60619,45,4439,20
60628,45,4439,20
60665,45,4439,20
60701,45,4439,20
60872,45,4439,20
60917,45,4439,20
60940,45,4439,20
60987,45,4439,20
61082,45,4439,20
61109,45,4439,20
61930,45,4439,20
62031,45,4439,20
62076,45,4439,20
62494,45,4439,20
62578,45,4439,20
62581,45,4439,20
62856,45,4439,20
64576,45,4439,20
64831,45,4439,20
64908,45,4439,20
67125,45,4439,20
59399,50,4439,20
59402,50,4439,20
59432,50,4439,20
59442,50,4439,20
59606,50,4439,20
59648,50,4439,20
59718,50,4439,20
59720,50,4439,20
59745,50,4439,20
59766,50,4439,20
59808,50,4439,20
59862,50,4439,20
59870,50,4439,20
59930,50,4439,20
59946,50,4439,20
59980,50,4439,20
60126,50,4439,20
60146,50,4439,20
60148,50,4439,20
60149,50,4439,20
60156,50,4439,20
60160,50,4439,20
60244,50,4439,20
60306,50,4439,20
60334,50,4439,20
60411,50,4439,20
60448,50,4439,20
60452,50,4439,20
