id,type,value,value_was,status,gift_charge,note_charge_diff,packaging_charge_diff,pick_pack_charge_diff,shipping_charge_diff,total_charge,undeliverable_charge
3680429,updated,Shipped,Shipped,Shipped,0,0,350,575,12683,13608,0
3402812,updated,Opened,Opened,Opened,5995,0,0,0,0,5995,0
